tanggal,periode_data,pm10,pm25,so2,co,o3,no2,max,critical,categori,stasiun
2010-01-01,201001,60.0,52.0,4.0,73.0,27.0,14.0,73.0,CO,SEDANG,DKI1 Bunderan HI
2010-01-02,201001,32.0,52.0,2.0,16.0,33.0,9.0,52.0,PM25,SEDANG,DKI1 Bunderan HI
2010-01-03,201001,27.0,52.0,2.0,19.0,20.0,9.0,52.0,PM25,SEDANG,DKI1 Bunderan HI
2010-01-04,201001,22.0,52.0,2.0,16.0,15.0,6.0,52.0,PM25,SEDANG,DKI1 Bunderan HI
2010-01-05,201001,25.0,52.0,2.0,17.0,15.0,8.0,52.0,PM25,SEDANG,DKI1 Bunderan HI
2010-01-06,201001,30.0,52.0,3.0,22.0,19.0,11.0,52.0,PM25,SEDANG,DKI1 Bunderan HI
2010-01-07,201001,41.0,52.0,4.0,24.0,27.0,13.0,52.0,PM25,SEDANG,DKI1 Bunderan HI
2010-01-08,201001,64.0,52.0,8.0,51.0,19.0,15.0,64.0,PM10,SEDANG,DKI1 Bunderan HI
2010-01-09,201001,55.0,52.0,5.0,39.0,23.0,16.0,55.0,PM10,SEDANG,DKI1 Bunderan HI
2010-01-10,201001,34.0,52.0,5.0,23.0,26.0,12.0,52.0,PM25,SEDANG,DKI1 Bunderan HI
2010-01-11,201001,55.0,52.0,10.0,32.0,23.0,16.0,55.0,PM10,SEDANG,DKI1 Bunderan HI
2010-01-12,201001,45.0,52.0,4.0,33.0,9.0,17.0,52.0,PM25,SEDANG,DKI1 Bunderan HI
2010-01-13,201001,28.0,52.0,5.0,29.0,10.0,12.0,52.0,PM25,SEDANG,DKI1 Bunderan HI
2010-01-14,201001,38.0,52.0,6.0,28.0,15.0,10.0,52.0,PM25,SEDANG,DKI1 Bunderan HI
2010-01-15,201001,35.0,52.0,5.0,33.0,17.0,17.0,52.0,PM25,SEDANG,DKI1 Bunderan HI
2010-01-16,201001,54.0,52.0,5.0,38.0,17.0,18.0,54.0,PM10,SEDANG,DKI1 Bunderan HI
2010-01-17,201001,44.0,52.0,4.0,28.0,22.0,14.0,52.0,PM25,SEDANG,DKI1 Bunderan HI
2010-01-18,201001,38.0,52.0,4.0,29.0,24.0,15.0,52.0,PM25,SEDANG,DKI1 Bunderan HI
2010-01-19,201001,40.0,52.0,3.0,43.0,23.0,23.0,52.0,PM25,SEDANG,DKI1 Bunderan HI
2010-01-20,201001,61.0,52.0,5.0,63.0,16.0,17.0,63.0,CO,SEDANG,DKI1 Bunderan HI
2010-01-21,201001,36.0,52.0,4.0,27.0,23.0,13.0,52.0,PM25,SEDANG,DKI1 Bunderan HI
2010-01-22,201001,51.0,52.0,4.0,45.0,14.0,13.0,52.0,PM25,SEDANG,DKI1 Bunderan HI
2010-01-23,201001,35.0,52.0,3.0,30.0,20.0,14.0,52.0,PM25,SEDANG,DKI1 Bunderan HI
2010-01-24,201001,56.0,52.0,6.0,46.0,30.0,14.0,56.0,PM10,SEDANG,DKI1 Bunderan HI
2010-01-25,201001,59.0,52.0,4.0,38.0,18.0,15.0,59.0,PM10,SEDANG,DKI1 Bunderan HI
2010-01-26,201001,43.0,52.0,5.0,42.0,19.0,24.0,52.0,PM25,SEDANG,DKI1 Bunderan HI
2010-01-27,201001,54.0,52.0,8.0,38.0,40.0,16.0,54.0,PM10,SEDANG,DKI1 Bunderan HI
2010-01-28,201001,72.0,52.0,8.0,55.0,20.0,17.0,72.0,PM10,SEDANG,DKI1 Bunderan HI
2010-01-29,201001,51.0,52.0,8.0,24.0,19.0,11.0,52.0,PM25,SEDANG,DKI1 Bunderan HI
2010-01-30,201001,47.0,52.0,8.0,32.0,19.0,12.0,52.0,PM25,SEDANG,DKI1 Bunderan HI
2010-01-31,201001,32.0,52.0,5.0,25.0,26.0,10.0,52.0,PM25,SEDANG,DKI1 Bunderan HI
2010-02-01,201002,41.0,51.01,7.0,30.0,17.0,13.0,51.01,PM25,SEDANG,DKI1 Bunderan HI
2010-02-02,201002,50.0,51.01,4.0,30.0,23.0,12.0,51.01,PM25,SEDANG,DKI1 Bunderan HI
2010-02-03,201002,49.0,51.01,7.0,33.0,57.0,23.0,57.0,O3,SEDANG,DKI1 Bunderan HI
2010-02-04,201002,59.0,51.01,9.0,38.0,75.0,26.0,75.0,O3,SEDANG,DKI1 Bunderan HI
2010-02-05,201002,63.0,51.01,7.0,39.0,41.0,23.0,63.0,PM10,SEDANG,DKI1 Bunderan HI
2010-02-06,201002,65.0,51.01,8.0,59.0,24.0,15.0,65.0,PM10,SEDANG,DKI1 Bunderan HI
2010-02-07,201002,60.0,51.01,10.0,45.0,47.0,17.0,60.0,PM10,SEDANG,DKI1 Bunderan HI
2010-02-08,201002,46.0,51.01,5.0,31.0,42.0,17.0,51.01,PM25,SEDANG,DKI1 Bunderan HI
2010-02-09,201002,52.0,51.01,7.0,30.0,34.0,16.0,52.0,PM10,SEDANG,DKI1 Bunderan HI
2010-02-10,201002,50.0,51.01,8.0,31.0,39.0,14.0,51.01,PM25,SEDANG,DKI1 Bunderan HI
